"STATION","NAME","DATE","DAPR","DASF","MDPR","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00427516","ST. GEORGE, UT US","1942-01-01",,,,"0.78","5.0","41","23","32"
"USC00427516","ST. GEORGE, UT US","1942-01-02",,,,"0.00","0.0","39","14","31"
"USC00427516","ST. GEORGE, UT US","1942-01-03",,,,"0.00","0.0","39","13","30"
"USC00427516","ST. GEORGE, UT US","1942-01-04",,,,"0.00","0.0","39","12","29"
"USC00427516","ST. GEORGE, UT US","1942-01-05",,,,"0.00","0.0","43","11","36"
"USC00427516","ST. GEORGE, UT US","1942-01-06",,,,"0.00","0.0","43","13","34"
"USC00427516","ST. GEORGE, UT US","1942-01-07",,,,"0.00","0.0","39","13","38"
"USC00427516","ST. GEORGE, UT US","1942-01-08",,,,"0.00","0.0","53","23","44"
"USC00427516","ST. GEORGE, UT US","1942-01-09",,,,"0.00","0.0","54","25","41"
"USC00427516","ST. GEORGE, UT US","1942-01-10",,,,"0.00","0.0","52","25","48"
"USC00427516","ST. GEORGE, UT US","1942-01-11",,,,"0.00","0.0","48","28","41"
"USC00427516","ST. GEORGE, UT US","1942-01-12",,,,"0.00","0.0","59","28","51"
"USC00427516","ST. GEORGE, UT US","1942-01-13",,,,"0.00","0.0","57","27","43"
"USC00427516","ST. GEORGE, UT US","1942-01-14",,,,"0.00","0.0","62","27","53"
"USC00427516","ST. GEORGE, UT US","1942-01-15",,,,"0.00","0.0","56","31","45"
"USC00427516","ST. GEORGE, UT US","1942-01-16",,,,"0.00","0.0","56","25","44"
"USC00427516","ST. GEORGE, UT US","1942-01-17",,,,"0.00","0.0","53","26","42"
"USC00427516","ST. GEORGE, UT US","1942-01-18",,,,"0.00","0.0","56","23","53"
"USC00427516","ST. GEORGE, UT US","1942-01-19",,,,"0.00","0.0","55","23","49"
"USC00427516","ST. GEORGE, UT US","1942-01-20",,,,"0.00","0.0","61","21","51"
"USC00427516","ST. GEORGE, UT US","1942-01-21",,,,"0.00","0.0","63","34","55"
"USC00427516","ST. GEORGE, UT US","1942-01-22",,,,"0.00","0.0","66","31","53"
"USC00427516","ST. GEORGE, UT US","1942-01-23",,,,"0.00","0.0","65","33","54"
