"STATION","NAME","DATE","DAPR","DASF","MDPR","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-01",,,,"0.16","5.5","26","8","9"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-02",,,,"0.01","0.2","16","0","12"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-03",,,,"0.21","4.5","20","9","16"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-04",,,,"0.00","0.0","22","3","12"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-05",,,,"0.00","0.0","25","0","10"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-06",,,,"0.00","0.0","23","0","16"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-07",,,,"0.08","1.0","29","14","27"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-08",,,,"0.13","0.0","43","23","38"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-09",,,,"0.00","0.0","45","28","34"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-10",,,,"0.00","0.0","42","22","29"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-11",,,,"0.00","0.0","38","13","25"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-12",,,,"0.00","0.0","33","15","23"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-13",,,,"0.00","0.0","29","15","23"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-14",,,,"0.00","0.0","34","13","20"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-15",,,,"0.00","0.0","32","13","22"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-16",,,,"0.05","1.0","31","15","31"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-17",,,,"0.24","4.5","35","25","30"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-18",,,,"0.00","0.0","43","22","32"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-19",,,,"0.00","0.0","36","15","20"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-20",,,,"0.00","0.0","26","4","17"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-21",,,,"0.00","0.0","28","3","17"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-22",,,,"0.00","0.0","41","10","31"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-23",,,,"0.13","1.5","45","17","32"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-24",,,,"0.00","0.0","47","27","37"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-25",,,,"0.00","0.0","46","29","40"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-26",,,,"0.00","0.0","54","32","46"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-27",,,,"0.00","0.0","58","35","57"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-28",,,,"0.91","6.0","59","31","33"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-29",,,,"0.40","3.5","33","28","30"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-30",,,,"0.02","0.5","40","18","30"
"USC00421759","COTTONWOOD WEIR, UT US","1942-01-31",,,,"0.00","0.0","41","24","32"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-01",,,,"0.00","0.0","49","28","43"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-02",,,,"0.01","0.0","45","33","39"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-03",,,,"0.33","1.5","49","32","38"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-04",,,,"0.05","0.0","43","31","40"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-05",,,,"0.28","1.0","45","28","39"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-06",,,,"0.00","0.0","53","32","50"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-07",,,,"0.11","1.0","51","30","33"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-08",,,,"0.51","6.0","35","28","33"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-09",,,,"0.00","0.0","37","22","31"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-10",,,,"0.01","0.0","40","16","34"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-11",,,,"0.04","0.5","35","22","29"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-12",,,,"0.00","0.0","34","16","28"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-13",,,,"0.00","0.0","36","12","30"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-14",,,,"0.00","0.0","33","10","31"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-15",,,,"0.00","0.0","31","14","28"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-16",,,,"0.00","0.0","29","12","29"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-17",,,,"0.21","4.5","29","-5","20"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-18",,,,"0.00","0.0","29","0","25"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-19",,,,"0.00","0.0","34","1","28"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-20",,,,"0.00","0.0","37","7","30"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-21",,,,"0.00","0.0","49","21","43"
"USC00421759","COTTONWOOD WEIR, UT US","1942-02-22",,,,"0.33","2.5","44","27","28"
