"STATION","NAME","DATE","DAPR","DASF","MDPR","PRCP","SNOW","TMAX","TMIN","TOBS"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-01",,,,"0.35","5.0","12","-2","-1"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-02",,,,"0.00","0.0","9","-9","-7"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-03",,,,"0.10","1.5","16","-7","7"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-04",,,,"0.07","1.0","7","-8","-5"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-05",,,,"0.00","0.2","19","-10","1"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-06",,,,"0.00","0.0","14","-8","-3"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-07",,,,"0.15","6.0","33","-12","13"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-08",,,,"0.33","6.0","38","13","31"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-09",,,,"0.00","0.0","41","31","33"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-10",,,,"0.00","0.0","40","29","29"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-11",,,,"0.00","0.0","31","9","20"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-12",,,,"0.00","0.0","26","3","3"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-13",,,,"0.00","0.0","26","3","14"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-14",,,,"0.00","0.0","16","3","3"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-15",,,,"0.00","0.0","22","-3","-2"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-16",,,,"0.00","0.0","29","-2","14"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-17",,,,"0.24","6.0","34","13","25"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-18",,,,"0.01","0.3","36","14","15"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-19",,,,"0.00","0.0","20","13","14"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-20",,,,"0.00","0.0","12","0","0"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-21",,,,"0.00","0.0","18","-8","-5"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-22",,,,"0.00","0.0","28","-10","6"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-23",,,,"0.02","0.5","35","3","22"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-24",,,,"0.00","0.0","39","22","31"
"USC00425186","LOGAN UTAH ST U, UT US","1942-01-25",,,,"0.16","0.0","39","27","37"
