Timestamp,Major,NotListedMajor,CreditHrs,GPA,Stress,Year,StudyHrs,GamingHrs,SleepHrs,GameSystem,GameGenre,Please enter some of your favorite games!,GameReason,GameStyle,GameHelp
2022/03/28 12:29:56 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,4,6,Sophomore,10-20 hours,5-10 hours,6-8 hours,PC;Switch,Simulation;Sandbox;Racing,"Minecraft, Sims, Mario Kart!",To Relax (i.e Destress),Single-player gaming,No
2022/03/28 2:23:01 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,13,4,7,Junior,10-20 hours,20-30 hours,6-8 hours,PC,First-person shooters;Action-adventure;RPGs;Strategy;Platformer;Fighting;Visual Novel,"Killer7, Mother 3, Dead Rising, Deadly Premonition, Ghost Trick",To Have Fun (i.e No particular reason),Single-player gaming,Yes
2022/03/28 8:26:35 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.8,6,Junior,5-10 hours,5-10 hours,6-8 hours,PC;Xbox,First-person shooters;Action-adventure;RPGs,"Destiny 2, apex, civ 6, aoe 2",To Relax (i.e Destress),Multi-Player (with a group) gaming,No
2022/03/28 8:33:01 AM CST,Computer Science,,13,4,9,Junior,40+ hours,5-10 hours,8-10 hours,PC;Switch;Retro console,Action-adventure;RPGs;Sandbox;Platformer;Fighting,,To Have Fun (i.e No particular reason),Multi-Player (with a group) gaming,Unsure
2022/03/28 8:59:37 AM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,3.7,6,Junior,5-10 hours,0-5 hours,6-8 hours,Mobile,Puzzle,,To Have Fun (i.e No particular reason),Single-player gaming,No
2022/03/28 11:42:44 AM CST,Computer Science,,14,3.89,7,Sophomore,20-30 hours,20-30 hours,6-8 hours,PC,First-person shooters;Action-adventure;RPGs;Simulation;Strategy;Platformer;Fighting,"Xenoblade Chronicles, Elden Ring, Kirby Super Star Ultra, Pokemon BW/BW2","All of the above, except for streaming.",Multi-Player (with a group) gaming,Yes
2022/03/28 1:23:51 PM CST,Computer Science,,14,3.8,5,Freshman,5-10 hours,5-10 hours,4-6 hours,Xbox,First-person shooters;Action-adventure;RPGs;Sandbox;Strategy,"For Honor, Halo Reach, Skyrim, Destiny 2",To Relax (i.e Destress),Multi-Player (with a group) gaming,Unsure
2022/03/28 1:26:15 PM CST,"Engineering (mechanical, electrical, biomedical, chemical, etc.)",,15,2.4,8,Sophomore,20-30 hours,0-5 hours,4-6 hours,Mobile,Puzzle,Cody cross,To Have Fun (i.e No particular reason),Multi-player (alone) gaming,Unsure
2022/03/28 1:26:31 PM CST,Computer Science,,15,2,7,Sophomore,10-20 hours,5-10 hours,8-10 hours,Xbox;Mobile,First-person shooters;Puzzle,Warzone,To Relax (i.e Destress),Multi-player (alone) gaming,Unsure
2022/03/28 1:26:36 PM CST,Not Listed,Undeclared,14,3.6,7,Freshman,20-30 hours,0-5 hours,6-8 hours,PlayStation,First-person shooters;Action-adventure,"Call of Duty, Dark Souls, Elden Ring",To Challenge Yourself (i.e You Play Dark Souls),Single-player gaming,Unsure
